USER_ID;TRACK_ID;NAME;ARTIST;Acousticness;Danceability;Duration_Ms;Energy;Instrumentalness;Key;Liveness;Loudness;Mode;Speechiness;Tempo;Time_Signature;Valence;Like
No_Autorization;3lE8RY6yZoGqqJeZS06u6J;Где нас нет;Oxxxymiron;0,0764;0,55;265909;0,958;0;5;0,305;-2,691;1;0,48;176,03;4;0,279;0
No_Autorization;1uakmd92PCdne5EliFZlJk;Бесконечный магазин;Husky;0,00739;0,79;157225;0,693;3,49E-05;8;0,312;-7,578;1;0,21;100,05;4;0,544;0
No_Autorization;2lsnSNvmUPVePM94SI2a6P;ЧЕТВЁРТЫЙ ВСАДНИК;FACE;0,0636;0,835;157687;0,62;0;8;0,109;-3,669;1;0,347;160,044;4;0,519;0
No_Autorization;2kxq1hU7lKp9Gg5wPsSyeX;Всё как у людей;Noize MC;0,0638;0,462;256552;0,859;0;11;0,211;-5,18;0;0,305;79,822;4;0,633;0
No_Autorization;75KuKb4MD8rOdvo28X1uOw;Река;Ассаи feat. Иван Дорн;0,76;0,459;271587;0,392;0,00156;1;0,186;-8,869;0;0,309;68,229;3;0,46;0
No_Autorization;3pgHuvg77uYYmSTwZEwj5t;Биография;Krovostok;0,269;0,635;193947;0,338;2,52E-06;10;0,111;-13,674;0;0,728;167,103;4;0,3;0
No_Autorization;6GoRYFOMWoBNOKLwvuMdC3;B.I.D;Markul;0,702;0,699;192891;0,671;0;7;0,125;-7,213;0;0,244;140,879;4;0,386;0
No_Autorization;72E5vcZpCTi84SWYvooTRH;оранжевая песня;zavet;0,332;0,514;147771;0,812;0;8;0,1;-5,918;1;0,297;175,259;4;0,34;0
No_Autorization;5vsXtB67Zc2Hd5cTUXOLWq;Utopia;Miyagi & Andy Panda;0,443;0,547;209281;0,794;1,71E-05;7;0,144;-7,332;0;0,322;150,005;4;0,404;0
No_Autorization;0QOiEQHCuDkeKJ18NP5ZT0;Идеальный пациент (1 часть);RAM;0,00627;0,627;168250;0,815;0;5;0,704;-5,92;1;0,144;77,033;4;0,735;0
No_Autorization;5b9fy0wOl589N1Va18AMWV;Поэма о Родине;Husky;0,226;0,907;162273;0,622;0,116;1;0,0734;-9,711;1;0,337;87,958;4;0,738;0
No_Autorization;3NEIAYqjHJESrwyUZNz6Kr;Любовь;Dolphin;0,00278;0,621;259413;0,903;0,08;11;0,184;-7,694;0;0,0396;125,984;4;0,911;0
No_Autorization;0KxUfZO06jaBB2I5HQt8Ru;экзистенциальное поражение;ночные грузчики;0,572;0,742;224052;0,853;0;0;0,15;-8,592;1;0,0798;120,095;4;0,682;0
No_Autorization;3IR4OVoizWSzEnlt3YQNdL;Священный рэйв;ATL;0,295;0,687;198857;0,934;0;7;0,321;-5,068;1;0,138;140,072;4;0,758;0
No_Autorization;31yx0tNcuafs1yrAqD8cXK;Молитва;Meyti;0,0457;0,772;214000;0,75;0;10;0,172;-4,894;0;0,198;120,037;4;0,291;0
No_Autorization;2mnDbzoCqXYXOAXBhscMp9;Романс для Анны;Шым;0,0354;0,741;190528;0,788;0,0841;9;0,131;-5,374;1;0,119;86,712;4;0,423;0
No_Autorization;6dYXU1aDwRLs9K3bG8BhA1;17/32;ночные грузчики;0,0524;0,336;260052;0,478;0,688;0;0,0899;-11,546;1;0,0904;137,835;3;0,0357;0
No_Autorization;4ZGjWwVcrS0yGkHpz9UHIW;Космос;Skryptonite;0,48;0,498;227691;0,492;2,49E-06;0;0,528;-12,353;0;0,184;77,747;4;0,55;0
No_Autorization;1Sh3BZwxWAU04hrGRjB1Vx;26.04;Noize MC;0,203;0,685;229693;0,766;0;7;0,13;-6,441;1;0,277;162,946;4;0,631;0
No_Autorization;0IRiz2sGHDwx0g20xsnPw4;Переплетено;Oxxxymiron;0,435;0,643;291152;0,764;0;11;0,289;-5,686;0;0,401;101,25;4;0,433;0
No_Autorization;6wFWsmyG4D2Mte0iWbqiYr;Черным-черно;Husky;0,1;0,702;189913;0,695;0;8;0,637;-8,882;1;0,191;115,014;4;0,724;0
No_Autorization;3haUHC29mCGK6MrREqbONc;Плак-Плак;IC3PEAK;0,344;0,519;203500;0,658;0;5;0,15;-8,928;1;0,121;158,275;4;0,224;0
No_Autorization;46qKabMp8OrK3RyBApqidK;Спасибо подзарядке;Triagrutrika;0,468;0,666;254307;0,459;0;11;0,747;-9,276;1;0,126;85,563;4;0,845;0
No_Autorization;7sERntDVQtKm2AxAzwsW8H;Майор паранойя;2H Company;0,0114;0,621;170827;0,653;0;1;0,0281;-10,493;1;0,43;93,471;4;0,941;0
No_Autorization;1dAMZFBHt4aXnf1RjajXQO;Радиосигналы;Kasta;0,112;0,706;224561;0,789;0;7;0,131;-5,621;0;0,197;91,111;4;0,326;0
No_Autorization;2SounzDYOiR79ayEF7JfOA;Сука Любовь;Mikhey and Jumanji;0,415;0,694;295427;0,592;2,82E-05;0;0,089;-8,522;1;0,236;170,079;4;0,727;0
No_Autorization;571md1FedFYFaYUMUktYaF;ЮМОРИСТ - Original Motion Picture Soundtrack;FACE;0,058;0,842;143377;0,7;7,54E-06;9;0,48;-7,567;1;0,294;153,969;4;0,846;0
No_Autorization;3OMuSz7W5MFNmL5VkoQ76n;Лифт;Assai;0,22;0,706;217387;0,594;0;9;0,0894;-7,954;0;0,379;90,395;4;0,314;0
No_Autorization;3XTHWfZfepkM3waR16dnCa;Серебро;Dolphin;0,143;0,682;241227;0,504;0,479;2;0,203;-13,357;0;0,0345;129,972;4;0,617;0
No_Autorization;4rl2IndnlrZ6x0mHTJbSII;начистоту;ночные грузчики;0,698;0,635;338336;0,422;0,473;0;0,109;-15,125;1;0,14;119,592;4;0,311;0
No_Autorization;01nbzlp0XwqUabzKHlKpW0;ДЖЕДАИ;КИРПИЧИ;0,0126;0,813;211813;0,569;1,57E-06;11;0,22;-6,367;0;0,344;90,998;4;0,251;0
No_Autorization;5dtOmL3MyRZMKKQsAo2oTp;Антигерой;Mnogoznaal;0,629;0,736;130899;0,799;0,309;9;0,251;-4,603;0;0,0352;103,033;4;0,522;0
No_Autorization;3p9Ir7whIz9ze78VRmywlz;Архитектор;ATL;0,125;0,748;145846;0,595;2,14E-06;5;0,109;-7,046;0;0,0717;130,043;4;0,178;0
No_Autorization;2Z9J5uM5vr6mYGVP6hMOwI;Сказка;IC3PEAK;0,121;0,688;165455;0,573;0,057;11;0,159;-8,983;1;0,052;131,984;4;0,206;0
No_Autorization;5ItgyMh9oyzMKkDjH2EMpK;Юрик Паршев;Krovostok;0,159;0,79;229373;0,526;0;10;0,152;-14,026;0;0,49;95,886;4;0,901;0
No_Autorization;6heHgVgFclP45j1LX5vmtd;Fata Morgana;Markul;0,274;0,72;183094;0,635;0;2;0,135;-6,349;1;0,0714;96,993;4;0,132;0
No_Autorization;0Gp16jCz0LtDkdLt3tUQ1J;Феномен;bollywoodFM;0,011;0,926;211751;0,416;0,00901;1;0,114;-11,679;1;0,321;141,995;4;0,145;0
No_Autorization;3tnTyTiwOu0oiMqb7HdJNr;Осень;Дубовый Гаайъ;0,000233;0,587;336840;0,494;0,902;1;0,309;-11,697;1;0,0298;139,155;4;0,254;0
No_Autorization;4kRIj4qC6LRGqcitdhkBja;Босанова;Basta;0,496;0,82;205680;0,561;0,000434;3;0,0651;-7,07;0;0,276;89,986;4;0,643;0
No_Autorization;2qFbvcFsaL7Fgk7o2X4Drf;Гостиница Космос;Mnogoznaal;0,242;0,635;141031;0,911;0,00325;1;0,694;-4,682;1;0,11;149,93;4;0,382;0
No_Autorization;5NqhAFTgPTsxhm7kDhfVCw;Вокруг Шум;Kasta;0,0344;0,765;215680;0,795;0;9;0,327;-3,983;0;0,267;95,776;4;0,629;0
No_Autorization;71hUNAiuvPyzaQGVYQtqlF;Fire Man;MiyaGi & Endspiel;0,196;0,586;217442;0,874;0;4;0,0974;-7,264;0;0,0362;90,027;4;0,912;0
No_Autorization;40FJaSjTBdsIJ0upyx4Vjn;Урбан;Basta;0,0528;0,84;252720;0,704;0;4;0,321;-5,124;0;0,256;92,023;4;0,545;0
No_Autorization;0XSxhXEd9Ery8eXsfuHt1u;Серпантин;Markul;0,0154;0,727;186654;0,747;5,85E-06;11;0,106;-6,506;0;0,112;160,043;4;0,42;0
