USER_ID;TRACK_ID;NAME;ARTIST;Acousticness;Danceability;Duration_Ms;Energy;Instrumentalness;Key;Liveness;Loudness;Mode;Speechiness;Tempo;Time_Signature;Valence;Like
No_Autorization;7qM1BWAsZMTYh4BcYLb0uQ;Already Dead;Juice WRLD;0,019;0,74;231011;0,501;0;1;0,114;-6,339;1;0,0592;83,5;4;0,119;0
No_Autorization;6RfhBNU1FPWTG7VESlfgOl;Bad Man (Smooth Criminal);Polo G;0,0124;0,882;106000;0,662;0;0;0,106;-6,382;1;0,242;120,034;4;0,57;0
No_Autorization;1zwvbkUqTozLnmIECvBfgs;ROOF;DaBaby;0,0121;0,892;94521;0,577;0;2;0,243;-4,299;1;0,341;145,935;4;0,64;0
No_Autorization;4R67rQNSbbsR4TdUVOIdez;ESCAPE PLAN;Travis Scott;0,00207;0,839;149610;0,506;0;5;0,13;-6,714;0;0,133;154,12;4;0,44;0
No_Autorization;6MZoicv1j68tNiSJyKwNrB;Lion Eyes;Lil Durk;0,209;0,535;112941;0,809;0;1;0,115;-4,648;1;0,553;79,942;4;0,179;0
No_Autorization;1z7LV5wkExwW8YJk0IrPUA;Jumpin (feat. Polo G);NLE Choppa;0,241;0,826;181199;0,616;0;2;0,287;-5,479;1;0,328;127,925;4;0,612;0
No_Autorization;2BcMwX1MPV6ZHP4tUT9uq6;Knife Talk (with 21 Savage ft. Project Pat);Drake;0,0635;0,849;242966;0,424;0;5;0,0834;-9,579;0;0,324;145,887;4;0,153;0
No_Autorization;4eL3XeuGaEoVT8ttDh3hwY;Too Easy;Gunna;0,024;0,798;138587;0,574;0;1;0,122;-6,548;1;0,157;155,964;4;0,309;0
No_Autorization;4KDNRh9Oor80z3XIxdWlui;Bubbly (with Drake & Travis Scott);Young Thug;0,0536;0,91;165067;0,585;0;11;0,127;-7,572;0;0,257;129,011;4;0,599;0
No_Autorization;1tkipCYkIgti8f1tqjfcWe;Ambition For Cash;Key Glock;0,0115;0,841;143480;0,732;2,18E-05;7;0,136;-5,186;0;0,19;149,012;4;0,576;0
No_Autorization;40iJIUlhi6renaREYGeIDS;Fair Trade (with Travis Scott);Drake;0,0503;0,666;291175;0,465;0;1;0,215;-8,545;1;0,26;167,937;4;0,292;0
No_Autorization;08F16baYbciTva9P4BvpiI;MAFIA;Travis Scott;0,0775;0,855;240000;0,492;6,71E-06;0;0,111;-7,578;0;0,0483;109,975;4;0,385;0
No_Autorization;7Bpx2vsWfQFBACRz4h3IqH;family ties (with Kendrick Lamar);Baby Keem;0,00575;0,711;252070;0,611;0;1;0,231;-5,453;1;0,329;134,14;4;0,144;0
No_Autorization;3J4VKkUpLvomXJbn9ZAypO;Sharing Locations (feat. Lil Baby & Lil Durk);Meek Mill;0,00383;0,681;161053;0,63;0;1;0,139;-5,585;1;0,0385;151,951;4;0,183;0
No_Autorization;25GyyK9CyZRiDCsPY51fIT;Not In The Mood (feat. Fivio Foreign & Kay Flock);Lil Tjay;0,0951;0,545;150476;0,82;0;8;0,29;-4,489;1;0,275;141,908;4;0,357;0
No_Autorization;4c7LkE1lSNj3RR4cZo0jEi;Switches & Dracs (with Lil Durk feat. EST Gee);Moneybagg Yo;0,0107;0,772;133631;0,563;0;11;0,304;-8,188;0;0,452;160,064;4;0,521;0
No_Autorization;5qyZ6LcHvBiIHLaoED8K4g;Hot (feat. Moneybagg Yo);Meek Mill;0,00194;0,773;150527;0,623;0;2;0,133;-5,267;1;0,196;153,1;4;0,13;0
No_Autorization;0k1WUmIRnG3xU6fvvDVfRG;Way 2 Sexy (with Future & Young Thug);Drake;0,000619;0,803;257605;0,597;4,5E-06;11;0,323;-6,035;0;0,141;136,008;4;0,331;0
No_Autorization;6fSRCnfSfTBCbgoa6Nwhim;Wreck (feat. Big Sean);2 Chainz;0,563;0,889;123200;0,594;0;10;0,175;-6,593;0;0,104;119,984;4;0,758;0
No_Autorization;25r6MZ4Gtd76l43qnZI1DG;Flocky Flocky (feat. Travis Scott);Don Toliver;0,0252;0,8;183514;0,541;0;10;0,146;-5,05;0;0,0375;135,99;4;0,194;0
No_Autorization;6og219WwSl2pU7oXyXfRMe;YAE ENERGY;Lil Yachty;0,0378;0,877;102117;0,617;0;11;0,263;-6,2;0;0,303;136,01;4;0,484;0
No_Autorization;4yNoUQkYf1QF8iYlEzNynH;Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage);Nardo Wick;0,0045;0,739;279853;0,74;0;5;0,161;-5,86;0;0,333;75,575;4;0,488;0
No_Autorization;15OlC497ScJt9N2BS8lOev;LLC (feat. Moneybagg Yo);Money Man;0,121;0,803;195154;0,495;0;11;0,104;-5,724;1;0,321;80,972;4;0,628;0
No_Autorization;4HTY26kzdGCKJF1EqcRd2J;Feelin' Like Tunechi;Lil Wayne;0,174;0,559;186060;0,532;0;5;0,136;-7,679;0;0,353;85,843;5;0,529;0
No_Autorization;2DTpP3caqX3QdJIEoS83mD;Your Heart;Joyner Lucas;0,392;0,861;198621;0,637;0;6;0,0929;-7,701;0;0,133;87,006;4;0,754;0
No_Autorization;5b2CRPYt0QNA0jaCJNIIdn;Keeper (feat. A Boogie Wit da Hoodie);OHGEESY;0,0755;0,647;169697;0,483;0;11;0,138;-7,59;0;0,11;98,87;4;0,299;0
No_Autorization;42Q71LGgYI4eBdebWn5m6D;Waves;Culture Jam;0,0361;0,824;146494;0,484;0;1;0,0592;-5,618;1;0,07;77,039;4;0,148;0
No_Autorization;5KQxun2WxwDMsV7HCN2ONK;Rich MF (feat. Polo G & Lil Durk);Trippie Redd;0,0849;0,756;247714;0,698;0;6;0,221;-5,464;1;0,178;77,497;4;0,66;0
No_Autorization;37Nqx7iavZpotJSDXZWbJ3;Girls Want Girls (with Lil Baby);Drake;0,181;0,767;221980;0,438;0;7;0,142;-8,726;0;0,29;86,975;4;0,381;0
No_Autorization;3RoCi49XvcidDK7OqGw7fb;Come Through (feat. Lil Tecca);Bankrol Hayden;0,41;0,872;112614;0,623;0;3;0,184;-3,94;0;0,0389;104,07;4;0,72;0
No_Autorization;2t6q9bGHggJNAyNdFqDOpA;TWINNEM (Remix) (feat. DaBaby);Coi Leray;0,0854;0,928;160560;0,361;0;9;0,121;-8,662;1;0,292;134,108;4;0,309;0
No_Autorization;1rjnHhnDtoboZAXJyJgzaz;Super;Cordae;0,123;0,897;177408;0,684;0;1;0,361;-4,776;1;0,352;138,975;4;0,409;0
No_Autorization;1lfYsrLHXzo3s7NpHb1fIS;No Where;YoungBoy Never Broke Again;0,213;0,657;157845;0,496;0;5;0,12;-7,346;1;0,0889;146,061;4;0,352;0
No_Autorization;0WSEq9Ko4kFPt8yo3ICd6T;Praise God;Kanye West;0,00904;0,798;226653;0,545;9,48E-05;1;0,258;-6,466;1;0,168;118,029;4;0,212;0
No_Autorization;0HNKMJ2EKCaT2EqcCBj1EH;Way Bigger;Don Toliver;0,0534;0,752;196011;0,531;0;1;0,124;-6,236;1;0,0568;131,97;4;0,2;0
No_Autorization;0UTyLmkQgPOEIz95OVAJTR;range brothers (with Kendrick Lamar);Baby Keem;0,00466;0,667;316733;0,582;0;11;0,124;-5,791;0;0,267;121,972;4;0,141;0
No_Autorization;7e7Iq9lhisbqgRwxaCVvYd;LOT OF ME;Lil Tecca;0,223;0,704;123871;0,537;0;0;0,122;-8,565;1;0,302;77,444;4;0,7;0
No_Autorization;0RbW8kWozrVSIGb4V13o0o;Hurricane;Kanye West;0,0466;0,587;243187;0,561;0;0;0,109;-6,569;1;0,146;80,009;4;0,351;0
No_Autorization;1dIWPXMX4kRHj6Dt2DStUQ;Chosen (feat. Ty Dolla $ign);Blxst;0,336;0,571;161684;0,767;0;2;0,0809;-5,16;1;0,287;93,421;4;0,605;0
No_Autorization;4wuMS7NGVbU7hdu94K5icd;Prada (feat. Lil Tecca);24kGoldn;0,122;0,686;151586;0,69;0;6;0,137;-6,13;0;0,24;178,157;4;0,528;0
No_Autorization;0uqsdBw9KvD8jSWmfMmMAp;Stressed (with J. Cole & T-Shyne);Young Thug;0,0698;0,707;220413;0,442;0;0;0,106;-10,395;0;0,339;81,021;4;0,344;0
No_Autorization;52nTQQahs46s1iHFQ3Wv5Q;Pissed Me Off;Lil Durk;0,00311;0,723;123077;0,516;1,26E-06;11;0,115;-10,707;0;0,485;155,967;4;0,223;0
No_Autorization;15qKrPi4Kg0z7g9HlwWyeb;The Jackie (with J. Cole & Lil Tjay);Bas;0,333;0,784;204434;0,474;0;8;0,278;-6,139;1;0,0524;128,012;4;0,64;0
No_Autorization;0LlFMKD7MAHwOqkIBsHui6;Scorpio;Moneybagg Yo;0,0292;0,736;165773;0,532;8,86E-06;1;0,0806;-7,151;1;0,265;84,983;4;0,273;0
No_Autorization;5bjTLWk5cBOACEVPl3oqkU;What A Life;Big Sean;0,00089;0,824;178431;0,782;2,64E-05;1;0,0949;-5,304;1;0,0516;95,012;4;0,381;0
No_Autorization;1yrg59BEI7zSxvAXRcu7YF;Tiffany Nikes;Wale;0,0942;0,704;132000;0,779;0;11;0,302;-4,507;0;0,126;119,902;4;0,553;0
No_Autorization;29TPjc8wxfz4XMn21O7VsZ;Sky;Playboi Carti;0,258;0,785;193234;0,903;0;2;0,169;-4,184;1;0,21;139,98;4;0,565;0
No_Autorization;4V5Dv8IjHNTk2YJzU9vgsW;Eat It;Megan Thee Stallion;0,0517;0,843;169421;0,671;0;10;0,286;-5,708;0;0,22;137,932;4;0,56;0
No_Autorization;1LJYn86ysceH708AIkw0VZ;CAN'T TOUCH THIS;BIA;0,00716;0,975;146598;0,482;0;9;0,0596;-7,94;1;0,246;125,953;4;0,737;0
No_Autorization;6Zu3aw7FfjAF9WA0fA81Oq;Big Energy;Latto;0,0514;0,935;173182;0,807;0;11;0,349;-3,838;0;0,114;106,017;4;0,813;0
No_Autorization;5VKH21bwtHFMVKtChm4ltz;Пошла жара;GAYAZOV$ BROTHER$;0,00598;0,743;170000;0,947;0;7;0,338;-3,722;0;0,0419;107,074;4;0,473;0
No_Autorization;7DETuWY9GjRnHeEGGVT8Ee;Королева танцпола;Dzharo & Khanza;0,151;0,964;131000;0,814;8,57E-06;9;0,0823;-5,611;1;0,184;108,931;4;0,763;0
No_Autorization;6M1SBKfoGgtllSeza8f2Id;Тело;Tanir & Tyomcha;0,334;0,759;190825;0,745;0;5;0,274;-4,67;1;0,159;155,973;4;0,386;0
No_Autorization;5kbOFqQ15vDh2FODZ3l1IF;Заманчивая;MATRANG;0,123;0,56;215769;0,758;0,00772;1;0,197;-5,421;0;0,236;93,784;4;0,395;0
No_Autorization;3dcEasU5Srxzn8DKVpRpGB;Балаклава;Нискуба;0,0906;0,931;133770;0,904;0,0168;1;0,361;-5,694;1;0,267;119,97;4;0,82;0
No_Autorization;0nilvfhUwITMBkAVK6A0Ig;Не жалей;VERBEE;0,162;0,699;144004;0,559;0;1;0,145;-8,592;0;0,263;79,964;4;0,337;0
No_Autorization;673KDG1jWSp94e7TvLuCFg;Цунами;RASA;0,265;0,93;180078;0,499;1,25E-05;4;0,115;-8,416;0;0,185;123,993;4;0,581;0
No_Autorization;1yC81utmc3tVV3E6CMK5cG;Пустите меня на танцпол;HammAli & Navai;0,251;0,811;256271;0,556;0,000371;1;0,0761;-11,12;1;0,261;119,097;4;0,676;0
No_Autorization;29NXOx44nSswLL1bKNChox;Рваные джинсы;Eldzhey;0,148;0,861;180000;0,722;0,00202;7;0,0799;-5,659;1;0,0608;120,01;4;0,605;0
No_Autorization;49NfxyLSligVqFKnKRzbDR;Black;GAZIROVKA;0,0949;0,778;165800;0,639;0,00157;8;0,201;-6,525;0;0,0537;113,971;4;0,477;0
No_Autorization;6jSQePvuE3EQLHri15yIx3;Двигаться;Raim;0,667;0,785;147403;0,648;0,014;7;0,0839;-8,817;0;0,0341;120,03;4;0,528;0
No_Autorization;6dtYJ5yiTP5wTZxRRLc4Qm;Даже не половина;Zomb;0,454;0,579;171494;0,627;0;11;0,12;-6,293;0;0,237;74,557;3;0,416;0
